file_path,category,filename,size_kb,act_tag,section_hint,needs_validation
raw\ExplosiveSubstancesAct19085B15D.pdf,raw,ExplosiveSubstancesAct19085B15D.pdf,12.9,,,PENDING
raw\FC-RegulationAct-2010-C5B15D.pdf,raw,FC-RegulationAct-2010-C5B15D.pdf,7935.3,,,PENDING
raw\FC-rules20115B15D.pdf,raw,FC-rules20115B15D.pdf,2781.5,,,PENDING
raw\FCRAAMENDMENT2020_MHANotification_091020205B15D.pdf,raw,FCRAAMENDMENT2020_MHANotification_091020205B15D.pdf,856.1,,,PENDING
raw\fr_rules_19925B15D.pdf,raw,fr_rules_19925B15D.pdf,3342.8,,,PENDING
raw\gazette-dm5B15D.pdf,raw,gazette-dm5B15D.pdf,999.5,,,PENDING
raw\GazetteNotificationforRRURules_05012021_05B15D.pdf,raw,GazetteNotificationforRRURules_05012021_05B15D.pdf,1751.7,,,PENDING
raw\GazetteofIndia_09015B15D.pdf,raw,GazetteofIndia_09015B15D.pdf,1206.4,,,PENDING
raw\GovAmendActPublis_51828E29_20145B15D.pdf,raw,GovAmendActPublis_51828E29_20145B15D.pdf,147.8,,,PENDING
raw\GovEAPAmendmentAct2014_05B15D.pdf,raw,GovEAPAmendmentAct2014_05B15D.pdf,75.7,,,PENDING
raw\GovEAPAmendmentAct2014_05B15D_0.pdf,raw,GovEAPAmendmentAct2014_05B15D_0.pdf,75.7,,,PENDING
raw\GovernmentNationalCapitalTerritoryAct5B15D.pdf,raw,GovernmentNationalCapitalTerritoryAct5B15D.pdf,85.4,,,PENDING
raw\GovernmentUnionterritoriesAct19635B15D.pdf,raw,GovernmentUnionterritoriesAct19635B15D.pdf,158.2,,,PENDING
raw\GOVERNORSEmoluments_Act19825B15D.pdf,raw,GOVERNORSEmoluments_Act19825B15D.pdf,78.9,,,PENDING
raw\GOVERNORSEmoluments_Act19825B15D_0.pdf,raw,GOVERNORSEmoluments_Act19825B15D_0.pdf,78.9,,,PENDING
raw\GovrnorsActs26Rules_09082018_05B15D.pdf,raw,GovrnorsActs26Rules_09082018_05B15D.pdf,115.1,,,PENDING
raw\GovrnorsActs26Rules_09082018_05B15D_0.pdf,raw,GovrnorsActs26Rules_09082018_05B15D_0.pdf,115.1,,,PENDING
raw\important_instructions_dhjs-2026.pdf,raw,important_instructions_dhjs-2026.pdf,689.5,,,PENDING
raw\important_instructions_dhjs-2026_0.pdf,raw,important_instructions_dhjs-2026_0.pdf,689.5,,,PENDING
raw\Investigation2520of2520High2520Quality2520Counterfeit2520Indian2520Currency2520Offences2520Rules2C252020135B15D.PDF,raw,Investigation2520of2520High2520Quality2520Counterfeit2520Indian2520Currency2520Offences2520Rules2C252020135B15D.PDF,155.6,,,PENDING
raw\IPC18605B15D.pdf,raw,IPC18605B15D.pdf,358.2,IPC->BNS,,PENDING
raw\IS_IIActs_280820185B15D.pdf,raw,IS_IIActs_280820185B15D.pdf,122.8,,,PENDING
raw\ITBP-Act19925B15D.pdf,raw,ITBP-Act19925B15D.pdf,185.1,,,PENDING
raw\ITBP-Rule-19945B15D.pdf,raw,ITBP-Rule-19945B15D.pdf,376.7,,,PENDING
raw\jud-03082026_odtt.pdf,raw,jud-03082026_odtt.pdf,11.6,,,PENDING
raw\jud-03082026_odtt_0.pdf,raw,jud-03082026_odtt_0.pdf,75.1,,,PENDING
raw\jud-03082026_odtt_1.pdf,raw,jud-03082026_odtt_1.pdf,54.4,,,PENDING
raw\jud-04082026.odtttt.pdf,raw,jud-04082026.odtttt.pdf,52.6,,,PENDING
raw\jud-05082026.odttttt.pdf,raw,jud-05082026.odttttt.pdf,75.4,,,PENDING
raw\jud-05082026.odttttt_0.pdf,raw,jud-05082026.odttttt_0.pdf,70.1,,,PENDING
raw\jud-05082026.odttttt_1.pdf,raw,jud-05082026.odttttt_1.pdf,10.9,,,PENDING
raw\jud-31072026.odtt.pdf,raw,jud-31072026.odtt.pdf,54.4,,,PENDING
raw\jud_01_for_31.07.2026_1.pdf,raw,jud_01_for_31.07.2026_1.pdf,731.5,,07,PENDING
raw\jud_1_for_03.08.2026.pdf,raw,jud_1_for_03.08.2026.pdf,437.0,,08,PENDING
raw\j_03082026.pdf,raw,j_03082026.pdf,662.8,,,PENDING
raw\LAPI-Act-0808115B15D.pdf,raw,LAPI-Act-0808115B15D.pdf,11530.8,,,PENDING
raw\LotteriesAct-19985B15D.pdf,raw,LotteriesAct-19985B15D.pdf,35.4,,,PENDING
raw\LotteriesAct-19985B15D_0.pdf,raw,LotteriesAct-19985B15D_0.pdf,35.4,,,PENDING
raw\MinisterAct1952_0807145B15D.pdf,raw,MinisterAct1952_0807145B15D.pdf,16.6,,,PENDING
raw\MinisterAct1952_0807145B15D_0.pdf,raw,MinisterAct1952_0807145B15D_0.pdf,16.6,,,PENDING
raw\MinistersAllowanceRules1957_35B15D.pdf,raw,MinistersAllowanceRules1957_35B15D.pdf,66.3,,,PENDING
raw\MinistersResidenceRules19625B15D.pdf,raw,MinistersResidenceRules19625B15D.pdf,19.6,,,PENDING
raw\MPReorgAct2000_1309135B15D.PDF,raw,MPReorgAct2000_1309135B15D.PDF,795.6,,,PENDING
raw\MPReorgAct2000_1309135B15D_0.PDF,raw,MPReorgAct2000_1309135B15D_0.PDF,795.6,,,PENDING
raw\NationalSecAmndmntAct19845B15D.pdf,raw,NationalSecAmndmntAct19845B15D.pdf,3546.0,,,PENDING
raw\NBK04082026RFA732025_172059.pdf,raw,NBK04082026RFA732025_172059.pdf,801.4,,,PENDING
raw\NBK04082026RSA1852024_172035.pdf,raw,NBK04082026RSA1852024_172035.pdf,493.1,,,PENDING
raw\NBK04082026RSA572018_171930.pdf,raw,NBK04082026RSA572018_171930.pdf,820.9,,,PENDING
raw\NDMCACT19441_290420175B15D.pdf,raw,NDMCACT19441_290420175B15D.pdf,27120.2,,,PENDING
raw\NDM_Noti1708095B15D.pdf,raw,NDM_Noti1708095B15D.pdf,3143.8,,,PENDING
raw\Noti2186-0208135B15D.pdf,raw,Noti2186-0208135B15D.pdf,3099.5,,,PENDING
raw\Noti80EAllowPrivAmendRule2015_0904155B15D.pdf,raw,Noti80EAllowPrivAmendRule2015_0904155B15D.pdf,999.1,,,PENDING
raw\NotiAPReOrgAct_1504145B15D.pdf,raw,NotiAPReOrgAct_1504145B15D.pdf,226.0,,,PENDING
raw\NotiAPReOrgAct_1504145B15D_0.pdf,raw,NotiAPReOrgAct_1504145B15D_0.pdf,226.0,,,PENDING
raw\notice_of_dhjs.pdf,raw,notice_of_dhjs.pdf,1571.5,,,PENDING
raw\notice_of_dhjs_dd62606e.pdf,raw,notice_of_dhjs_dd62606e.pdf,1571.5,,,PENDING
raw\notice_of_dhjs_fc15e954.pdf,raw,notice_of_dhjs_fc15e954.pdf,1571.5,,,PENDING
raw\NotiCustodian2520of2520Enemy2520Property612E_2909145B15D.pdf,raw,NotiCustodian2520of2520Enemy2520Property612E_2909145B15D.pdf,2710.7,,,PENDING
raw\NotiDeputyCustodianofEnemyProperty613E_2909145B15D.pdf,raw,NotiDeputyCustodianofEnemyProperty613E_2909145B15D.pdf,3836.9,,,PENDING
raw\NotificationCivilServicesAmedmentRule_0807165B15D.pdf,raw,NotificationCivilServicesAmedmentRule_0807165B15D.pdf,142.3,,,PENDING
raw\Notification_061020205B15D.pdf,raw,Notification_061020205B15D.pdf,1075.2,,,PENDING
raw\NotiSikhGurdwarasActAmendment_1205165B15D.PDF,raw,NotiSikhGurdwarasActAmendment_1205165B15D.PDF,24.1,,,PENDING
raw\NSGAct19865B15D.pdf,raw,NSGAct19865B15D.pdf,126.7,,,PENDING
raw\NSGRules19875B15D.pdf,raw,NSGRules19875B15D.pdf,218.2,,,PENDING
raw\odishaAlterationAct20115B15D.pdf,raw,odishaAlterationAct20115B15D.pdf,362.4,,,PENDING
raw\odishaAlterationAct20115B15D_0.pdf,raw,odishaAlterationAct20115B15D_0.pdf,362.4,,,PENDING
raw\Official_Secret_Act19235B15D.pdf,raw,Official_Secret_Act19235B15D.pdf,31.5,,,PENDING
raw\OSA25201923_25042017_05B15D.pdf,raw,OSA25201923_25042017_05B15D.pdf,3990.7,,,PENDING
raw\Paper_4_Business_Law_&_Management_CSEET_18122025.pdf,raw,Paper_4_Business_Law_&_Management_CSEET_18122025.pdf,4323.7,,,PENDING
raw\PDPPA2C19845B15D.pdf,raw,PDPPA2C19845B15D.pdf,42.0,,,PENDING
raw\PDPPA2C19845B15D_0.pdf,raw,PDPPA2C19845B15D_0.pdf,42.0,,,PENDING
raw\PlaceWorshipAct19915B15D.pdf,raw,PlaceWorshipAct19915B15D.pdf,12.3,,,PENDING
raw\PMS04082026CRLA6302026_163343.pdf,raw,PMS04082026CRLA6302026_163343.pdf,469.2,,,PENDING
raw\Pondicherry_Rule_180520175B15D.PDF,raw,Pondicherry_Rule_180520175B15D.PDF,226.6,,,PENDING
raw\PptEntryAct19205B15D.pdf,raw,PptEntryAct19205B15D.pdf,12.3,,,PENDING
raw\PptEntryAct1920_05B15D.pdf,raw,PptEntryAct1920_05B15D.pdf,12.3,,,PENDING
raw\PresidentPensionRulesupto2018_090820185B15D.pdf,raw,PresidentPensionRulesupto2018_090820185B15D.pdf,40.0,,,PENDING
raw\PresidentsActupto2018_090820185B15D.pdf,raw,PresidentsActupto2018_090820185B15D.pdf,23.6,,,PENDING
raw\PresidentsActupto2018_090820185B15D_0.pdf,raw,PresidentsActupto2018_090820185B15D_0.pdf,23.6,,,PENDING
raw\President_emoluments_act1951_UPDATED_5B15D.pdf,raw,President_emoluments_act1951_UPDATED_5B15D.pdf,18.6,,,PENDING
raw\President_emoluments_act1951_UPDATED_5B15D_0.pdf,raw,President_emoluments_act1951_UPDATED_5B15D_0.pdf,18.6,,,PENDING
raw\Prevention_Insults_National_Honour_Act1971.pdf,raw,Prevention_Insults_National_Honour_Act1971.pdf,15.1,,,PENDING
raw\Prisons_act18945B15D.pdf,raw,Prisons_act18945B15D.pdf,61.3,,,PENDING
raw\Prisons_act18945B15D_0.pdf,raw,Prisons_act18945B15D_0.pdf,61.3,,,PENDING
raw\Protection2520of2520HR2520Act19935B15D.pdf,raw,Protection2520of2520HR2520Act19935B15D.pdf,40.8,,,PENDING
raw\pro_for_04.08.2026.pdf,raw,pro_for_04.08.2026.pdf,652.1,,08,PENDING
raw\pro_for_06.08.2026.pdf,raw,pro_for_06.08.2026.pdf,649.7,,08,PENDING
raw\PS_Agencies_Regulation_Act20055B15D.pdf,raw,PS_Agencies_Regulation_Act20055B15D.pdf,28.4,,,PENDING
raw\PublicProDamgeAct_200515_05B15D.pdf,raw,PublicProDamgeAct_200515_05B15D.pdf,1060.6,,,PENDING
raw\rbd_act_19695B15D.pdf,raw,rbd_act_19695B15D.pdf,107.3,,,PENDING
raw\ReligiousInstitutionsAct19885B15D.pdf,raw,ReligiousInstitutionsAct19885B15D.pdf,36.0,,,PENDING
raw\RepatriationofPrisAct-20035B15D.pdf,raw,RepatriationofPrisAct-20035B15D.pdf,55.6,,,PENDING
raw\RepatriationofPrisAct-20035B15D_0.pdf,raw,RepatriationofPrisAct-20035B15D_0.pdf,55.6,,,PENDING
raw\RepatriationRules20045B15D.pdf,raw,RepatriationRules20045B15D.pdf,34.8,,,PENDING
raw\repealedfileopen.pdf,raw,repealedfileopen.pdf,1079.0,,,PENDING
raw\RRU_201120205B15D.pdf,raw,RRU_201120205B15D.pdf,704.9,,,PENDING
raw\RulesBharatRatna26PadmaAwards_0_0.pdf,raw,RulesBharatRatna26PadmaAwards_0_0.pdf,524.2,,,PENDING
raw\RulesBharatRatna26PadmaAwards_0_0_cdb1b4b8.pdf,raw,RulesBharatRatna26PadmaAwards_0_0_cdb1b4b8.pdf,524.2,,,PENDING
raw\Section220oftheFinanceAct_2018_091020205B15D.pdf,raw,Section220oftheFinanceAct_2018_091020205B15D.pdf,6976.8,,,PENDING
raw\Section236oftheFinanceAct_2016_091020205B15D.pdf,raw,Section236oftheFinanceAct_2016_091020205B15D.pdf,6725.9,,,PENDING
raw\Sikh2520Gurdwaras2520Board2520Election2520Rules2C252019595B15D.PDF,raw,Sikh2520Gurdwaras2520Board2520Election2520Rules2C252019595B15D.PDF,664.9,,,PENDING
raw\Sikh_Gurrdwara_Act19255B15D.pdf,raw,Sikh_Gurrdwara_Act19255B15D.pdf,480.7,,,PENDING
raw\SSB-Act20075B15D.pdf,raw,SSB-Act20075B15D.pdf,192.0,,,PENDING
raw\SSB-Rule20095B15D.pdf,raw,SSB-Rule20095B15D.pdf,493.1,,,PENDING
raw\StateEmblemRules-2010_05B15D.pdf,raw,StateEmblemRules-2010_05B15D.pdf,271.6,,,PENDING
raw\STATE_EMBLEM_ACT2005.pdf,raw,STATE_EMBLEM_ACT2005.pdf,28.2,,,PENDING
raw\tender_no._12382_27.07.2026.pdf,raw,tender_no._12382_27.07.2026.pdf,1616.3,,07,PENDING
raw\The2520Armed2520Forces252028Jammu2520and2520Kashmir292520Special2520Powers2520Act2C252019905B15D.pdf,raw,The2520Armed2520Forces252028Jammu2520and2520Kashmir292520Special2520Powers2520Act2C252019905B15D.pdf,216.7,,,PENDING
raw\The2520Bombay2520Reorganisation2520Act25201960_2706145B15D.pdf,raw,The2520Bombay2520Reorganisation2520Act25201960_2706145B15D.pdf,386.6,,,PENDING
raw\The2520Bombay2520Reorganisation2520Act25201960_2706145B15D_0.pdf,raw,The2520Bombay2520Reorganisation2520Act25201960_2706145B15D_0.pdf,386.6,,,PENDING
raw\The2520Disaster2520Management2520Act2C252020055B15D.pdf,raw,The2520Disaster2520Management2520Act2C252020055B15D.pdf,381.4,,,PENDING
raw\The2520National2520Investigation2520Agency252028Manner2520of2520Constitution292520Rules2C25202008252028English2520262520Hindi295B15D.pdf,raw,The2520National2520Investigation2520Agency252028Manner2520of2520Constitution292520Rules2C25202008252028English2520262520Hindi295B15D.pdf,84.8,Constitution,,PENDING
raw\The2520National2520Investigation2520Agency2520Act2C25202008252028English295B15D.pdf,raw,The2520National2520Investigation2520Agency2520Act2C25202008252028English295B15D.pdf,260.1,,,PENDING
raw\The2520Procedure2520for2520Admission2520and2520Disposal2520of2520Application2520Rules2C252020045B15D.pdf,raw,The2520Procedure2520for2520Admission2520and2520Disposal2520of2520Application2520Rules2C252020045B15D.pdf,42.4,,,PENDING
raw\The2520Qualifications2520for2520the2520members2520of2520the2520Review2520Committee2520Rules2C252020045B15D.pdf,raw,The2520Qualifications2520for2520the2520members2520of2520the2520Review2520Committee2520Rules2C252020045B15D.pdf,32.5,,,PENDING
raw\The2520State2520Reorganisation2520Act25201956_2706145B15D.pdf,raw,The2520State2520Reorganisation2520Act25201956_2706145B15D.pdf,396.5,,,PENDING
raw\The2520State2520Reorganisation2520Act25201956_2706145B15D_0.pdf,raw,The2520State2520Reorganisation2520Act25201956_2706145B15D_0.pdf,396.5,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention29252028Recommendation2520and2520Sanction2520of2520Prosecution292520Rules2C25202008252028English2520262520Hindi295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention29252028Recommendation2520and2520Sanction2520of2520Prosecution292520Rules2C25202008252028English2520262520Hindi295B15D.pdf,61.9,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention292520Act2C25201967252028English295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention292520Act2C25201967252028English295B15D.pdf,451.6,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202004252028English295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202004252028English295B15D.pdf,522.8,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202008252028English295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202008252028English295B15D.pdf,169.1,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202012252028English295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202012252028English295B15D.pdf,751.5,,,PENDING
raw\The2520Unlawful2520Activities252028Prevention292520Rules2C25201968252028English295B15D.pdf,raw,The2520Unlawful2520Activities252028Prevention292520Rules2C25201968252028English295B15D.pdf,53.6,,,PENDING
raw\TheArmsRules19625B15D.pdf,raw,TheArmsRules19625B15D.pdf,16088.6,,,PENDING
raw\TheCCP28Amendment29Act2C20055B15D.pdf,raw,TheCCP28Amendment29Act2C20055B15D.pdf,72.1,,,PENDING
raw\TheCitizenshipRules2009_02012025.pdf,raw,TheCitizenshipRules2009_02012025.pdf,3832.3,,,PENDING
raw\TheCommissionsOfInquiryRules2C19725B15D.pdf,raw,TheCommissionsOfInquiryRules2C19725B15D.pdf,23.6,,,PENDING
raw\TheConst96AndmtAct20115B15D.pdf,raw,TheConst96AndmtAct20115B15D.pdf,180.4,,,PENDING
